"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Myo6" 7.58595898712131e-68 -2.82691223744196 0.046 0.242 1.65343562083296e-63 "IM" "Myo6"
"Rai14" 8.95140141952251e-68 1.08681449663957 0.586 0.27 1.95104745339913e-63 "IM" "Rai14"
"Gm5427" 2.04703858990483e-67 -6.04631053405768 0.003 0.146 4.46172531055656e-63 "IM" "Gm5427"
"Frmd4a" 2.43796344274336e-67 -1.55212562646112 0.466 0.623 5.31378511980343e-63 "IM" "Frmd4a"
"Zmynd15" 3.48800429948506e-67 2.44706667781099 0.272 0.045 7.60245417115763e-63 "IM" "Zmynd15"
"Cped1" 3.91932746175195e-67 -2.20755055607246 0.116 0.344 8.54256613563456e-63 "IM" "Cped1"
"Smad3" 9.38182806854804e-67 1.59306541165148 0.346 0.087 2.04486324582073e-62 "IM" "Smad3"
"Tmem154" 1.58997455181761e-66 -2.44980700209052 0.075 0.286 3.46550853314167e-62 "IM" "Tmem154"
"Mcemp1" 1.87061650217633e-66 -4.34000161155303 0.01 0.164 4.07719572814353e-62 "IM" "Mcemp1"
"Anxa3" 2.10638539038857e-66 1.04210659911864 0.588 0.296 4.59107759689093e-62 "IM" "Anxa3"
"Basp1" 2.20807104022456e-66 1.08243450132485 0.475 0.177 4.81271163927345e-62 "IM" "Basp1"
"B4galt6" 3.04372757126982e-66 1.42573075475062 0.388 0.114 6.6341086143397e-62 "IM" "B4galt6"
"Ccdc80" 4.12063583904502e-66 -2.76138599702373 0.055 0.252 8.98133787478252e-62 "IM" "Ccdc80"
"Dtna" 5.73862002960056e-66 -3.7668949065442 0.027 0.199 1.25078962165174e-61 "IM" "Dtna"
"Marcks" 9.91461145226561e-66 1.25748734098477 0.455 0.163 2.16098871213581e-61 "IM" "Marcks"
"Tsix" 2.54804795540864e-65 0.934013205859095 0.747 0.509 5.55372532360868e-61 "IM" "Tsix"
"Fgr" 3.29786352310367e-65 -1.27040892966058 0.454 0.672 7.18802333495676e-61 "IM" "Fgr"
"Sema3e" 4.22292572755196e-65 -3.09531665848862 0.046 0.235 9.20428891577225e-61 "IM" "Sema3e"
"Tfec" 1.03209726371289e-64 -1.9491350854506 0.245 0.469 2.24955919598862e-60 "IM" "Tfec"
"Gm41307" 2.5545644103888e-64 -5.10153398697547 0.007 0.152 5.56792858888342e-60 "IM" "Gm41307"
"Ms4a4a" 2.90437485141868e-64 2.62757384281564 0.24 0.03 6.33037542615216e-60 "IM" "Ms4a4a"
"Pla2g7" 5.95510770422783e-64 1.90015402521389 0.327 0.083 1.2979752752135e-59 "IM" "Pla2g7"
"Rab3il1" 7.54177279475689e-64 2.10237812034842 0.307 0.072 1.64380479834521e-59 "IM" "Rab3il1"
"Alox5" 3.4957386437208e-63 -2.27383594936916 0.08 0.288 7.61931194785385e-59 "IM" "Alox5"
"Iqgap1" 3.55666594968788e-63 -0.719473721749876 0.817 0.878 7.75210910393969e-59 "IM" "Iqgap1"
"Rufy4" 7.3452369948111e-63 -7.9490657965609 0 0.13 1.60096785538903e-58 "IM" "Rufy4"
"Ccl6" 1.04705267610454e-62 -2.50555845182745 0.096 0.306 2.28215601283744e-58 "IM" "Ccl6"
"Nup210" 1.45051775881855e-62 -2.4792187359938 0.075 0.277 3.1615485071209e-58 "IM" "Nup210"
"Cidec" 1.8818163873424e-62 -6.48054211150736 0.001 0.131 4.1016069978515e-58 "IM" "Cidec"
"Arrb2" 2.68260928602516e-62 1.20660407559552 0.549 0.273 5.84701519982044e-58 "IM" "Arrb2"
"Gm46411" 2.98177053070634e-62 2.22451312308876 0.294 0.068 6.49906704872754e-58 "IM" "Gm46411"
"Adgrl3" 3.1815516563683e-62 -1.71154258369943 0.218 0.449 6.93450999022034e-58 "IM" "Adgrl3"
